id;start_date;end_date;language
1;2023-02-19T20:57:30;2023-02-19T18:47:45;ENGLISH
2;2023-02-19T06:25:05;2023-02-19T15:50:34;FRENCH
3;2023-02-19T16:21:17;2023-02-19T04:26:25;SPANISH
4;2023-02-19T20:52:06;2023-02-19T02:18:25;FRENCH
5;2023-02-19T23:08:29;2023-02-19T07:27:27;ENGLISH
6;2023-02-19T08:39:12;2023-02-19T22:39:32;SPANISH
7;2023-02-19T16:43:00;2023-02-19T03:17:09;FRENCH
8;2023-02-19T07:08:53;2023-02-19T03:44:42;FRENCH
9;2023-02-19T08:00:31;2023-02-19T19:31:57;FRENCH
10;2023-02-19T03:57:29;2023-02-19T20:54:58;FRENCH
